Frequency[Hz],S11/dB,S11/phase[deg],S11/unwrapped_phase[deg],S12/dB,S12/phase[deg],S12/unwrapped_phase[deg],S21/dB,S21/phase[deg],S21/unwrapped_phase[deg],S22/dB,S22/phase[deg], S22/unwrapped_phase[deg]
500000000,-12.51091007,51.51189821,51.51189821,-5.910381262,-136.8895427,-136.8895427,-5.505003297,-127.335423,-127.335423,-10.77480133,47.15260997,47.15260997
512500000,-11.96156455,41.58953431,41.58953431,-5.245791668,-140.8058236,-140.8058236,-6.147938556,-134.2994242,-134.2994242,-10.88692391,50.22870714,50.22870714
525000000,-12.77006564,65.49863341,65.49863341,-4.156152344,-140.2844919,-140.2844919,-5.801454421,-139.7859967,-139.7859967,-7.785558975,41.20529389,41.20529389
537500000,-11.49325205,35.64459182,35.64459182,-4.657847692,-138.5351082,-138.5351082,-5.087517577,-145.3678474,-145.3678474,-13.13206992,35.08977498,35.08977498
550000000,-12.78536589,23.73240109,23.73240109,-5.375606346,-139.9876784,-139.9876784,-4.539450316,-145.8683346,-145.8683346,-13.30742981,31.25367604,31.25367604
562500000,-13.70874863,27.51945918,27.51945918,-5.522472498,-146.7213705,-146.7213705,-4.310838251,-144.2421423,-144.2421423,-13.7828637,20.72364275,20.72364275
575000000,-15.56807879,11.24311938,11.24311938,-5.186149625,-152.3357323,-152.3357323,-5.101099933,-145.0955619,-145.0955619,-13.84876661,16.56587588,16.56587588
587500000,-14.84815619,4.157753873,4.157753873,-4.352444753,-155.2192113,-155.2192113,-5.420900089,-152.0568885,-152.0568885,-14.93918782,20.57317456,20.57317456
600000000,-15.14708929,5.344485982,5.344485982,-4.012150144,-154.6466541,-154.6466541,-4.877867279,-158.0631808,-158.0631808,-17.04747058,-3.516863439,-3.516863439
612500000,-16.99120234,5.790329323,5.790329323,-4.210808158,-157.3564811,-157.3564811,-4.322229513,-162.5481859,-162.5481859,-18.01668484,-1.950302824,-1.950302824
625000000,-19.29750346,-21.30814138,-21.30814138,-4.241064335,-163.792376,-163.792376,-3.745162126,-163.9995622,-163.9995622,-18.23220318,-13.77995314,-13.77995314
637500000,-20.35692321,-23.58251435,-23.58251435,-3.818402426,-167.9990016,-167.9990016,-3.824107325,-166.8316984,-166.8316984,-18.83989833,-16.73537896,-16.73537896
650000000,-21.09170317,-26.53463815,-26.53463815,-3.729932431,-171.3887125,-171.3887125,-3.688745913,-171.6449265,-171.6449265,-21.7313743,-44.06578939,-44.06578939
662500000,-21.70828399,-39.07089723,-39.07089723,-3.519837718,-173.7408741,-173.7408741,-3.534665943,-175.3431885,-175.3431885,-21.51249304,-50.39984766,-50.39984766
675000000,-23.2800841,-51.02211456,-51.02211456,-3.405644574,-176.9506846,-176.9506846,-3.438347238,-177.398475,-177.398475,-24.37142839,-55.90573075,-55.90573075
687500000,-22.74856159,-90.03733963,-90.03733963,-3.197867952,177.8673749,-182.1326251,-3.284610561,178.0989317,-181.9010683,-25.6922999,-70.06604177,-70.06604177
700000000,-26.62195332,-107.200257,-107.200257,-3.075251496,173.9103121,-186.0896879,-3.311686533,173.9910554,-186.0089446,-21.46658375,-112.8947302,-112.8947302
712500000,-24.09746781,-141.6182805,-141.6182805,-2.884303689,170.4069583,-189.5930417,-3.065982742,168.1059878,-191.8940122,-25.87752875,-95.16724293,-95.16724293
725000000,-23.94704963,-147.130046,-147.130046,-2.762716747,164.9415159,-195.0584841,-2.487601306,163.5467528,-196.4532472,-27.26748827,-114.1903409,-114.1903409
737500000,-24.62443219,-176.2248235,-176.2248235,-2.815745118,158.8671569,-201.1328431,-2.394969882,161.7472993,-198.2527007,-24.88140308,-162.1096445,-162.1096445
750000000,-21.15297719,166.0688537,-193.9311463,-2.178324059,151.3187363,-208.6812637,-2.621828711,157.1727023,-202.8272977,-23.33399457,-164.5500795,-164.5500795
762500000,-18.16291841,138.8497211,-221.1502789,-1.857019595,150.62052,-209.37948,-2.588248677,149.7212999,-210.2787001,-25.97508015,-153.0095815,-153.0095815
775000000,-16.97646133,141.9358565,-218.0641435,-2.35282481,148.2429563,-211.7570437,-2.283028017,142.9056561,-217.0943439,-20.51154901,130.014725,-229.985275
787500000,2.556367919,-147.8411204,-147.8411204,-5.898155698,-77.05616031,-77.05616031,-3.282677266,146.6826343,-213.3173657,-10.34464049,156.8970685,-203.1029315
800000000,-17.3891117,100.7775277,-259.2224723,-3.031657935,130.8985693,-229.1014307,-1.635831463,136.9878855,-223.0121145,-18.76478998,95.80082321,-264.1991768
812500000,-15.45615142,99.44908102,-260.550919,-2.362957593,125.9977021,-234.0022979,-2.392975048,136.5595751,-223.4404249,-19.02133128,113.9273639,-246.0726361
825000000,-15.23133474,89.50796242,-270.4920376,-1.762472856,125.7174672,-234.2825328,-3.060560678,130.0355191,-229.9644809,-17.9754323,82.68757144,-277.3124286
837500000,-15.56624376,90.03435921,-269.9656408,-1.864221953,127.9345911,-232.0654089,-3.096464534,119.5668036,-240.4331964,-14.17965591,84.17094197,-275.829058
850000000,-16.36473247,92.49302859,-267.5069714,-2.594838135,126.9384626,-233.0615374,-2.381475329,112.8542412,-247.1457588,-15.97283738,68.09797284,-291.9020272
